Timeinterval Start Loc;Timeinterval End Loc;Isp;Currency Unit Name;Price Measurement Unit Name;Incident Reserve Up;Incident Reserve Down;Price Dispatch Up;Price Dispatch Down;Price Shortage;Price Surplus;Regulation State;Regulating Condition
2020-01-01T00:00;2020-01-01T00:15;1;EUR;MWh;NO;NO;53.18;16.03;16.03;16.03;-1;DOWN
2020-01-01T00:15;2020-01-01T00:30;2;EUR;MWh;NO;NO;;30.03;30.03;30.03;-1;DOWN
2020-01-01T00:30;2020-01-01T00:45;3;EUR;MWh;NO;NO;31.09;;31.09;31.09;1;UP
2020-01-01T00:45;2020-01-01T01:00;4;EUR;MWh;NO;NO;;28.48;28.48;28.48;-1;DOWN
2020-01-01T01:00;2020-01-01T01:15;5;EUR;MWh;NO;NO;38.6;22.3;38.6;22.3;2;UP_AND_DOWN
2020-01-01T01:15;2020-01-01T01:30;6;EUR;MWh;NO;NO;32.93;;32.93;32.93;1;UP
2020-01-01T01:30;2020-01-01T01:45;7;EUR;MWh;NO;NO;30.3;;30.3;30.3;1;UP
2020-01-01T01:45;2020-01-01T02:00;8;EUR;MWh;NO;NO;32.93;;32.93;32.93;1;UP
2020-01-01T02:00;2020-01-01T02:15;9;EUR;MWh;NO;NO;31.25;;31.25;31.25;1;UP
2020-01-01T02:15;2020-01-01T02:30;10;EUR;MWh;NO;NO;32.75;;32.75;32.75;1;UP
2020-01-01T02:30;2020-01-01T02:45;11;EUR;MWh;NO;NO;28.92;;28.92;28.92;1;UP
2020-01-01T02:45;2020-01-01T03:00;12;EUR;MWh;NO;NO;;;28.99;28.99;0;STABLE
2020-01-01T03:00;2020-01-01T03:15;13;EUR;MWh;NO;NO;54.33;;54.33;54.33;1;UP
2020-01-01T03:15;2020-01-01T03:30;14;EUR;MWh;NO;NO;85.02;;85.02;85.02;1;UP
2020-01-01T03:30;2020-01-01T03:45;15;EUR;MWh;NO;NO;28.75;;28.75;28.75;1;UP
2020-01-01T03:45;2020-01-01T04:00;16;EUR;MWh;NO;NO;28.75;;28.75;28.75;1;UP
2020-01-01T04:00;2020-01-01T04:15;17;EUR;MWh;NO;NO;32.57;;32.57;32.57;1;UP
2020-01-01T04:15;2020-01-01T04:30;18;EUR;MWh;NO;NO;30.3;;30.3;30.3;1;UP
2020-01-01T04:30;2020-01-01T04:45;19;EUR;MWh;NO;NO;;;14.53;14.53;0;STABLE
2020-01-01T04:45;2020-01-01T05:00;20;EUR;MWh;NO;NO;;;14.53;14.53;0;STABLE
2020-01-01T05:00;2020-01-01T05:15;21;EUR;MWh;NO;NO;;;28.91;28.91;0;STABLE
2020-01-01T05:15;2020-01-01T05:30;22;EUR;MWh;NO;NO;;;28.91;28.91;0;STABLE
2020-01-01T05:30;2020-01-01T05:45;23;EUR;MWh;NO;NO;31;;31;31;1;UP
2020-01-01T05:45;2020-01-01T06:00;24;EUR;MWh;NO;NO;31;;31;31;1;UP
2020-01-01T06:00;2020-01-01T06:15;25;EUR;MWh;NO;NO;;;28.91;28.91;0;STABLE
2020-01-01T06:15;2020-01-01T06:30;26;EUR;MWh;NO;NO;;;28.91;28.91;0;STABLE
2020-01-01T06:30;2020-01-01T06:45;27;EUR;MWh;NO;NO;29.77;;29.77;29.77;1;UP
