Timeinterval Start Loc,Timeinterval End Loc,Isp,Currency Unit Name,Price Measurement Unit Name,Incident Reserve Up,Incident Reserve Down,Price Dispatch Up,Price Dispatch Down,Price Shortage,Price Surplus,Regulation State,Regulating Condition
2025-01-01T00:00,2025-01-01T00:15,1,EUR,MWh,NO,NO,,-105,-105,-105,-1,DOWN
2025-01-01T00:15,2025-01-01T00:30,2,EUR,MWh,NO,NO,112.05,-53,112.05,-53,2,UP_AND_DOWN
2025-01-01T00:30,2025-01-01T00:45,3,EUR,MWh,NO,NO,85.07,-50,85.07,-50,2,UP_AND_DOWN
2025-01-01T00:45,2025-01-01T01:00,4,EUR,MWh,NO,NO,95.07,-35,95.07,-35,2,UP_AND_DOWN
2025-01-01T01:00,2025-01-01T01:15,5,EUR,MWh,NO,NO,95.07,-55.51,95.07,-55.51,2,UP_AND_DOWN
2025-01-01T01:15,2025-01-01T01:30,6,EUR,MWh,NO,NO,95.07,-37,-37,-37,-1,DOWN
2025-01-01T01:30,2025-01-01T01:45,7,EUR,MWh,NO,NO,,-37,-37,-37,-1,DOWN
2025-01-01T01:45,2025-01-01T02:00,8,EUR,MWh,NO,NO,,-45,-45,-45,-1,DOWN
2025-01-01T02:00,2025-01-01T02:15,9,EUR,MWh,NO,NO,272.83,-32,272.83,-32,2,UP_AND_DOWN
2025-01-01T02:15,2025-01-01T02:30,10,EUR,MWh,NO,NO,102.49,-30,-30,-30,-1,DOWN
2025-01-01T02:30,2025-01-01T02:45,11,EUR,MWh,NO,NO,99,-35,99,-35,2,UP_AND_DOWN
2025-01-01T02:45,2025-01-01T03:00,12,EUR,MWh,NO,NO,30,-37,66.79,-37,2,UP_AND_DOWN
2025-01-01T03:00,2025-01-01T03:15,13,EUR,MWh,NO,NO,108.05,-32,108.05,-32,2,UP_AND_DOWN
2025-01-01T03:15,2025-01-01T03:30,14,EUR,MWh,NO,NO,85.07,,85.07,85.07,1,UP
2025-01-01T03:30,2025-01-01T03:45,15,EUR,MWh,NO,NO,,-16.73,-16.73,-16.73,-1,DOWN
