Probability,Date,Up_ISP_1,Up_ISP_2,Up_ISP_3,Up_ISP_4,Up_ISP_5,Up_ISP_6,Up_ISP_7,Up_ISP_8,Up_ISP_9,Up_ISP_10,Up_ISP_11,Up_ISP_12,Up_ISP_13,Up_ISP_14,Up_ISP_15,Up_ISP_16,Up_ISP_17,Up_ISP_18,Up_ISP_19,Up_ISP_20,Up_ISP_21,Up_ISP_22,Up_ISP_23,Up_ISP_24,Up_ISP_25,Up_ISP_26,Up_ISP_27,Up_ISP_28,Up_ISP_29,Up_ISP_30,Up_ISP_31,Up_ISP_32,Up_ISP_33,Up_ISP_34,Up_ISP_35,Up_ISP_36,Up_ISP_37,Up_ISP_38,Up_ISP_39,Up_ISP_40,Up_ISP_41,Up_ISP_42,Up_ISP_43,Up_ISP_44,Up_ISP_45,Up_ISP_46,Up_ISP_47,Up_ISP_48,Up_ISP_49,Up_ISP_50,Up_ISP_51,Up_ISP_52,Up_ISP_53,Up_ISP_54,Up_ISP_55,Up_ISP_56,Up_ISP_57,Up_ISP_58,Up_ISP_59,Up_ISP_60,Up_ISP_61,Up_ISP_62,Up_ISP_63,Up_ISP_64,Up_ISP_65,Up_ISP_66,Up_ISP_67,Up_ISP_68,Up_ISP_69,Up_ISP_70,Up_ISP_71,Up_ISP_72,Up_ISP_73,Up_ISP_74,Up_ISP_75,Up_ISP_76,Up_ISP_77,Up_ISP_78,Up_ISP_79,Up_ISP_80,Up_ISP_81,Up_ISP_82,Up_ISP_83,Up_ISP_84,Up_ISP_85,Up_ISP_86,Up_ISP_87,Up_ISP_88,Up_ISP_89,Up_ISP_90,Up_ISP_91,Up_ISP_92,Up_ISP_93,Up_ISP_94,Up_ISP_95,Up_ISP_96,Down_ISP_1,Down_ISP_2,Down_ISP_3,Down_ISP_4,Down_ISP_5,Down_ISP_6,Down_ISP_7,Down_ISP_8,Down_ISP_9,Down_ISP_10,Down_ISP_11,Down_ISP_12,Down_ISP_13,Down_ISP_14,Down_ISP_15,Down_ISP_16,Down_ISP_17,Down_ISP_18,Down_ISP_19,Down_ISP_20,Down_ISP_21,Down_ISP_22,Down_ISP_23,Down_ISP_24,Down_ISP_25,Down_ISP_26,Down_ISP_27,Down_ISP_28,Down_ISP_29,Down_ISP_30,Down_ISP_31,Down_ISP_32,Down_ISP_33,Down_ISP_34,Down_ISP_35,Down_ISP_36,Down_ISP_37,Down_ISP_38,Down_ISP_39,Down_ISP_40,Down_ISP_41,Down_ISP_42,Down_ISP_43,Down_ISP_44,Down_ISP_45,Down_ISP_46,Down_ISP_47,Down_ISP_48,Down_ISP_49,Down_ISP_50,Down_ISP_51,Down_ISP_52,Down_ISP_53,Down_ISP_54,Down_ISP_55,Down_ISP_56,Down_ISP_57,Down_ISP_58,Down_ISP_59,Down_ISP_60,Down_ISP_61,Down_ISP_62,Down_ISP_63,Down_ISP_64,Down_ISP_65,Down_ISP_66,Down_ISP_67,Down_ISP_68,Down_ISP_69,Down_ISP_70,Down_ISP_71,Down_ISP_72,Down_ISP_73,Down_ISP_74,Down_ISP_75,Down_ISP_76,Down_ISP_77,Down_ISP_78,Down_ISP_79,Down_ISP_80,Down_ISP_81,Down_ISP_82,Down_ISP_83,Down_ISP_84,Down_ISP_85,Down_ISP_86,Down_ISP_87,Down_ISP_88,Down_ISP_89,Down_ISP_90,Down_ISP_91,Down_ISP_92,Down_ISP_93,Down_ISP_94,Down_ISP_95,Down_ISP_96
0.029734675205855442,2021-05-13,64.0,0.0,62.41,84.0,84.0,0.0,61.0,0.0,71.0,61.18,0.0,0.0,105.75,64.93,0.0,60.43,0.0,0.0,0.0,0.0,0.0,64.0,67.0,62.88,66.23,67.39,91.79,73.15,60.56,60.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.68,62.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.92,66.73,66.23,65.41,112.87,81.0,67.11,66.58,310.75,83.7,83.7,0.0,64.39,61.94,61.38,0.0,0.0,0.0,30.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.25,31.0,52.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.31,39.92,46.23,60.15,40.92,5.0,28.7,28.7,-125.1,-125.1,32.92,59.23,39.66,43.89,44.08,32.02,33.2,24.0,13.35,29.43,41.98,49.11,-147.63,-21.01,-21.0,12.37,-13.95,3.0,26.59,11.05,35.02,26.72,42.93,59.23,43.19,0.0,43.1,59.23,-140.08,30.81,44.08,0.0,23.14,41.92,0.0,0.0,44.08,59.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,0.0,0.0,0.0,0.0,0.0,55.03,46.23
0.03385178408051235,2022-01-13,185.98,337.31,171.21,194.12,551.88,170.01,205.82,282.33,200.0,204.98,171.44,190.1,203.21,171.57,166.67,166.67,166.44,187.63,201.61,210.0,153.88,666.0,556.0,496.0,165.18,165.23,185.92,200.0,174.75,174.75,204.53,496.0,496.0,0.0,221.98,215.99,496.0,496.0,496.0,225.0,496.0,545.6,396.0,496.0,191.62,496.0,209.66,214.78,496.0,200.26,200.65,184.51,200.0,327.33,168.14,171.14,249.36,168.14,192.19,168.14,171.14,171.14,186.07,175.86,175.86,0.0,0.0,208.86,208.86,0.0,0.0,0.0,235.0,171.82,171.82,164.29,496.0,496.0,0.0,504.69,183.06,235.0,175.57,175.57,496.0,496.0,172.72,184.73,177.72,193.35,193.66,193.66,0.0,0.0,165.29,0.0,149.7,0.0,0.0,0.0,157.7,144.7,140.7,126.02,0.0,0.0,140.7,0.0,0.0,0.0,0.0,152.7,149.7,152.7,0.0,0.0,130.7,180.0,0.0,149.7,150.14,0.0,0.0,0.0,111.83,108.46,180.0,0.0,-51.9,152.13,152.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.87,150.0,152.13,156.57,68.0,150.08,154.13,170.0,161.97,160.0,150.0,153.14,153.14,149.13,152.13,152.13,0.0,0.0,152.13,119.35,154.13,144.37,134.64,0.0,164.31,152.13,154.42,152.13,138.41,135.11,44.0,55.78
0.0827996340347667,2024-10-19,88.91,116.2,110.0,110.0,113.61,105.71,98.61,0.0,116.2,110.0,101.91,101.91,101.45,110.0,101.45,90.15,86.69,116.0,116.0,0.0,0.0,53.61,53.61,68.61,116.3,116.3,86.69,83.61,186.39,336.39,53.61,83.61,0.0,0.0,98.61,136.39,140.0,111.76,116.0,100.14,117.63,140.0,150.0,150.0,99.0,53.61,0.0,0.0,125.76,113.61,101.45,98.3,368.89,140.0,151.69,115.9,116.0,140.0,115.8,96.69,68.61,100.0,100.0,91.95,115.7,115.7,115.7,115.6,119.21,117.63,113.61,0.0,0.0,0.0,0.0,68.61,0.0,100.04,0.0,0.0,53.61,98.61,68.61,53.61,101.45,155.3,88.0,0.0,53.61,0.0,90.3,100.0,68.61,72.83,98.61,115.7,76.91,0.0,0.0,0.0,0.0,0.0,0.0,73.59,76.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.69,75.0,0.0,82.98,0.0,0.0,0.0,0.0,84.87,83.69,75.0,75.0,0.0,63.09,71.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,66.0,82.79,10.93,10.93,66.0,0.0,0.0,0.0,0.0,80.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,-9.39,-30.79,0.0,0.0,0.0,0.0,0.0,85.83,85.83,0.0,0.0,0.0,59.97,80.13,0.0,73.04,50.05,35.69,59.05,55.0,0.0,0.0,55.69,31.69,31.69,25.05,28.69,28.69,0.0,43.77,65.05,0.0,19.18
0.0009149130832570906,2024-08-21,155.36,164.02,99.45,139.0,1825.36,166.02,93.02,105.3,85.36,93.67,95.45,91.73,93.02,99.02,123.89,105.7,85.36,85.36,106.8,106.0,92.1,107.0,107.0,106.1,99.02,96.59,0.0,0.0,105.02,100.36,98.03,1825.36,85.36,101.6,101.5,120.0,120.0,0.0,97.04,0.0,126.0,165.99,72.65,66.37,75.0,600.0,0.0,75.0,90.3,106.3,140.99,115.99,85.36,0.0,0.0,0.0,0.0,98.99,75.0,0.0,85.36,81.6,10.0,75.0,0.0,75.0,101.7,65.0,0.0,0.0,190.99,65.0,0.0,126.4,106.3,138.3,0.0,112.73,139.72,392.1,104.3,97.8,100.83,106.6,104.6,104.8,104.8,0.0,107.2,97.29,0.0,0.0,99.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.82,-19.44,-60.0,-58.0,-22.0,-47.83,-197.07,-228.8,-98.0,-52.0,-60.0,-48.1,-50.0,-41.5,0.0,-54.0,-21.74,-8.04,-30.0,-30.0,62.11,38.42,50.21,0.0,-74.0,-70.0,-74.0,-129.69,-341.86,-1000.0,-140.2,-74.0,-84.14,-30.0,-43.1,-56.62,-60.0,-68.0,-26.0,-43.0,-30.0,-38.0,0.0,0.0,-12.03,-10.0,-38.85,-38.85,-71.19,-35.0,-15.0,-31.35,-74.0,-13.0,-74.0,-51.72,-47.85,-14.0,-39.47,-72.0,-30.0,-61.96,-70.35,-74.0,-176.47,-1000.0,-1000.0,-91.83,-521.0,-56.0,-105.37,-97.94,0.0,0.0,86.02,0.0,0.0,0.0,0.0,0.0,48.66,42.42,78.0,0.0,75.4,-22.88,62.71,60.92,-11.03,-16.0
0.0054894784995425435,2022-11-27,464.68,266.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.81,195.9,0.0,249.13,249.13,0.0,249.13,286.15,263.96,249.15,240.1,240.1,0.0,186.53,186.43,250.72,240.27,0.0,0.0,0.0,233.27,246.27,252.07,259.65,239.46,265.72,255.72,240.27,250.72,255.42,340.54,1365.54,310.9,411.67,411.07,263.77,248.77,258.77,259.72,259.72,0.0,0.0,248.77,256.03,261.03,448.09,290.4,572.27,411.59,260.92,294.4,265.42,0.0,0.0,0.0,0.0,0.0,0.0,333.03,1038.01,508.28,0.0,0.0,246.18,487.86,487.86,302.48,390.54,440.54,390.54,481.97,257.33,263.36,296.48,297.67,333.28,390.54,246.26,246.26,1006.56,1006.56,0.0,0.0,0.0,256.54,256.54,0.0,159.83,211.67,-13.54,-24.6,-13.81,-5.09,-5.1,-7.0,-10.35,-10.37,-8.36,-8.23,31.4,0.0,31.4,0.0,0.0,0.0,0.0,0.0,186.89,-14.42,0.0,72.64,-10.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.89,-10.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.06,234.06,218.27,-72.69,162.34,221.27,0.0,0.0,0.0,0.0,401.58,401.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.14,241.86,-40.29,-9.69,244.05,127.27
0.005946935041171089,2023-07-17,0.0,75.83,67.17,0.0,0.0,0.0,74.59,74.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.46,91.0,91.0,69.57,80.46,81.59,69.58,120.96,120.96,186.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.72,75.79,73.72,96.72,94.19,99.69,163.94,66.92,90.76,136.05,71.71,89.16,747.24,70.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.77,80.77,75.77,76.09,76.09,172.34,167.62,75.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.45,75.45,76.95,11.59,50.83,0.0,-66.05,-259.73,-97.66,-57.98,-79.13,-4.48,-29.43,-29.41,-28.55,60.52,65.52,62.38,62.45,65.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.96,55.96,1.07,38.13,-29.32,-29.22,-34.63,-7.26,38.62,20.88,-19.83,-27.0,-24.86,-19.41,-37.22,-14.39,-14.4,-10.01,-229.27,-273.66,-37.13,-40.0,-15.13,-9.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.19,-15.16,-32.42,20.84,-51.92,-14.39,-92.42,-229.16,-263.97,-192.37,-63.92,-29.16,-100.37,-7.26,35.63,0.0,-241.49,61.09,0.0,0.0,57.2,0.0,0.0,0.0,64.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6939615736505031,2019-06-08,42.37,50.97,33.08,35.09,34.09,36.29,26.79,26.09,40.89,30.6,30.09,26.85,33.95,30.09,0.0,0.0,30.09,26.97,27.31,27.31,30.6,26.1,0.0,26.1,40.3,40.89,58.64,74.09,33.95,26.85,28.35,26.1,29.94,31.04,36.06,47.69,132.01,48.94,53.82,89.14,52.04,52.04,52.04,87.53,48.94,49.17,33.94,33.82,35.39,33.94,29.94,25.94,33.94,33.94,29.94,25.94,52.46,32.39,0.0,0.0,0.0,0.0,26.85,28.35,0.0,25.94,0.0,0.0,0.0,26.1,26.1,26.85,25.94,0.0,26.85,30.6,28.35,28.35,0.0,30.6,26.78,0.0,29.94,29.98,0.0,27.06,29.94,34.88,29.94,29.88,29.7,27.98,48.94,28.97,25.94,25.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.09,22.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.37,17.94,0.0,0.0,17.94,17.94,0.0,0.0,21.94,17.94,-7.81,-15.31,12.78,-22.05,13.94,13.94,17.78,17.94,17.94,0.0,0.0,5.78,17.94,17.94,0.0,23.14,21.94,22.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.94
0.009149130832570906,2022-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.36,830.08,830.08,135.86,135.86,148.14,173.24,204.15,138.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.65,836.41,444.17,444.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.34,141.41,146.07,331.74,542.84,1253.71,1253.71,542.84,309.28,319.11,168.07,207.49,168.07,339.03,325.12,0.0,0.0,131.52,131.7,131.7,309.03,164.02,0.0,0.0,0.0,0.0,0.0,0.0,164.02,170.25,170.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.71,163.76,134.86,146.71,119.69,141.42,129.54,81.61,119.24,122.4,148.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.28,-23.77,-29.37,-54.69,-24.9,-90.09,89.67,117.07,103.01,97.12,-30.65,148.34,0.0,0.0,60.46,99.63,76.0,-39.15,-157.69,84.02,123.1,145.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.49,68.53,68.53,0.0,0.0,0.0,0.0,99.12,-171.23,90.97,-83.71,-546.36,-121.23,110.71,0.0,0.0,298.52,128.63,298.19,298.19,0.0,0.0,0.0,116.74,97.38,85.71,52.16,68.9,82.38,52.16,67.9,91.34,97.38,89.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04803293687099726,2021-11-24,488.84,488.84,0.0,0.0,179.99,174.95,178.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.55,171.76,263.12,225.62,188.6,179.98,179.98,169.51,0.0,181.0,207.9,212.34,244.94,488.84,488.84,0.0,273.47,264.27,259.87,259.88,266.57,266.57,262.94,259.87,261.77,261.02,503.05,271.02,206.03,503.05,255.06,257.31,268.56,253.56,298.87,259.88,266.57,255.02,303.42,317.93,277.3,284.68,269.92,307.47,330.84,337.37,337.37,272.16,272.47,332.31,306.15,323.51,559.04,0.0,479.9,209.68,166.79,219.56,181.2,189.04,0.0,0.0,479.9,412.54,178.78,534.53,534.53,183.66,207.57,178.15,0.0,0.0,0.0,0.0,178.07,97.0,181.25,195.66,58.59,141.76,141.76,131.76,153.76,0.0,0.0,0.0,154.14,154.14,0.0,153.76,141.76,156.14,154.14,153.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.42,165.65,159.83,0.0,0.0,147.78,165.31,0.0,0.0,173.12,0.0,0.0,0.0,167.9,167.91,0.0,167.83,167.84,0.0,0.0,0.0,0.0,165.65,165.65,0.0,165.83,165.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.83,83.2,83.2,48.09,95.01,89.94,85.8,74.92,143.65,134.49,84.92,129.12,167.83,0.0,156.71
0.09011893870082342,2019-04-26,40.01,33.68,0.0,0.0,42.73,38.07,33.68,0.0,33.68,33.68,0.0,0.0,34.55,32.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7,40.76,151.12,151.12,0.0,42.87,146.12,47.09,43.87,51.2,51.2,72.12,40.91,38.71,0.0,77.12,38.12,38.89,40.76,163.12,67.12,49.13,66.2,163.12,116.2,51.2,38.47,143.12,66.2,44.12,39.03,163.12,66.2,47.12,40.76,38.19,42.96,34.57,32.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.09,33.06,0.0,0.0,0.0,0.0,66.2,66.2,40.91,51.2,33.76,38.12,0.0,0.0,42.15,33.76,0.0,33.04,116.2,156.12,34.78,0.0,29.63,0.0,0.0,0.0,0.0,0.0,0.0,30.18,29.68,0.0,29.68,29.68,29.68,0.0,0.0,6.39,-29.36,0.0,0.0,0.0,0.0,32.67,0.0,0.0,0.0,0.0,0.0,0.0,15.9,33.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.82,30.82,0.0,0.0,20.58,24.94,25.54,0.0,13.88,29.76,29.92,29.92,26.85,26.72,0.0,0.0,21.76,31.43,32.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.62,21.76,14.2,14.2,0.0,0.0,0.0,0.0,0.0,32.59
