"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|CH","Without Sequence","36.99","",""
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|CH","Without Sequence","31.08","",""
"01/01/2018 02:00:00 - 01/01/2018 03:00:00","BZN|CH","Without Sequence","29.17","",""
"01/01/2018 03:00:00 - 01/01/2018 04:00:00","BZN|CH","Without Sequence","21.96","",""
"01/01/2018 04:00:00 - 01/01/2018 05:00:00","BZN|CH","Without Sequence","14.96","",""
"01/01/2018 05:00:00 - 01/01/2018 06:00:00","BZN|CH","Without Sequence","-5.92","",""
"01/01/2018 06:00:00 - 01/01/2018 07:00:00","BZN|CH","Without Sequence","-6.10","",""
"01/01/2018 07:00:00 - 01/01/2018 08:00:00","BZN|CH","Without Sequence","-10.02","",""
"01/01/2018 08:00:00 - 01/01/2018 09:00:00","BZN|CH","Without Sequence","-5.71","",""
"01/01/2018 09:00:00 - 01/01/2018 10:00:00","BZN|CH","Without Sequence","-1.88","",""
"01/01/2018 10:00:00 - 01/01/2018 11:00:00","BZN|CH","Without Sequence","-10.48","",""
"01/01/2018 11:00:00 - 01/01/2018 12:00:00","BZN|CH","Without Sequence","-6.79","",""
"01/01/2018 12:00:00 - 01/01/2018 13:00:00","BZN|CH","Without Sequence","8.57","",""
"01/01/2018 13:00:00 - 01/01/2018 14:00:00","BZN|CH","Without Sequence","8.53","",""
"01/01/2018 14:00:00 - 01/01/2018 15:00:00","BZN|CH","Without Sequence","8.52","",""
"01/01/2018 15:00:00 - 01/01/2018 16:00:00","BZN|CH","Without Sequence","8.60","",""
"01/01/2018 16:00:00 - 01/01/2018 17:00:00","BZN|CH","Without Sequence","16.98","",""
"01/01/2018 17:00:00 - 01/01/2018 18:00:00","BZN|CH","Without Sequence","37.43","",""
"01/01/2018 18:00:00 - 01/01/2018 19:00:00","BZN|CH","Without Sequence","41.19","",""
"01/01/2018 19:00:00 - 01/01/2018 20:00:00","BZN|CH","Without Sequence","44.61","",""
"01/01/2018 20:00:00 - 01/01/2018 21:00:00","BZN|CH","Without Sequence","40.67","",""
"01/01/2018 21:00:00 - 01/01/2018 22:00:00","BZN|CH","Without Sequence","39.42","",""
"01/01/2018 22:00:00 - 01/01/2018 23:00:00","BZN|CH","Without Sequence","36.06","",""
"01/01/2018 23:00:00 - 02/01/2018 00:00:00","BZN|CH","Without Sequence","32.98","",""
"02/01/2018 00:00:00 - 02/01/2018 01:00:00","BZN|CH","Without Sequence","36.39","",""
"02/01/2018 01:00:00 - 02/01/2018 02:00:00","BZN|CH","Without Sequence","36.54","",""
"02/01/2018 02:00:00 - 02/01/2018 03:00:00","BZN|CH","Without Sequence","30.97","",""
"02/01/2018 03:00:00 - 02/01/2018 04:00:00","BZN|CH","Without Sequence","19.98","",""
"02/01/2018 04:00:00 - 02/01/2018 05:00:00","BZN|CH","Without Sequence","21.60","",""
"02/01/2018 05:00:00 - 02/01/2018 06:00:00","BZN|CH","Without Sequence","38.40","",""
"02/01/2018 06:00:00 - 02/01/2018 07:00:00","BZN|CH","Without Sequence","41.04","",""
"02/01/2018 07:00:00 - 02/01/2018 08:00:00","BZN|CH","Without Sequence","44.92","",""
"02/01/2018 08:00:00 - 02/01/2018 09:00:00","BZN|CH","Without Sequence","49.05","",""
"02/01/2018 09:00:00 - 02/01/2018 10:00:00","BZN|CH","Without Sequence","51.26","",""
"02/01/2018 10:00:00 - 02/01/2018 11:00:00","BZN|CH","Without Sequence","51.22","",""
"02/01/2018 11:00:00 - 02/01/2018 12:00:00","BZN|CH","Without Sequence","49.04","",""
"02/01/2018 12:00:00 - 02/01/2018 13:00:00","BZN|CH","Without Sequence","48.10","",""
"02/01/2018 13:00:00 - 02/01/2018 14:00:00","BZN|CH","Without Sequence","47.02","",""
"02/01/2018 14:00:00 - 02/01/2018 15:00:00","BZN|CH","Without Sequence","46.06","",""
"02/01/2018 15:00:00 - 02/01/2018 16:00:00","BZN|CH","Without Sequence","50.29","",""
"02/01/2018 16:00:00 - 02/01/2018 17:00:00","BZN|CH","Without Sequence","52.57","",""
"02/01/2018 17:00:00 - 02/01/2018 18:00:00","BZN|CH","Without Sequence","58.37","",""
"02/01/2018 18:00:00 - 02/01/2018 19:00:00","BZN|CH","Without Sequence","57.79","",""
"02/01/2018 19:00:00 - 02/01/2018 20:00:00","BZN|CH","Without Sequence","57.36","",""
"02/01/2018 20:00:00 - 02/01/2018 21:00:00","BZN|CH","Without Sequence","53.24","",""
"02/01/2018 21:00:00 - 02/01/2018 22:00:00","BZN|CH","Without Sequence","50.94","",""
