NUTS2_code,process,season,day_type,hour,load,temperature
CH04,shw_tertiary,,0,1,17.4246,
CH04,shw_tertiary,,0,2,16.6558,
CH04,shw_tertiary,,0,3,16.6638,
CH04,shw_tertiary,,0,4,16.8621,
CH04,shw_tertiary,,0,5,17.6905,
CH04,shw_tertiary,,0,6,18.8318,
CH04,shw_tertiary,,0,7,20.8171,
CH04,shw_tertiary,,0,8,23.89,
CH04,shw_tertiary,,0,9,27.6568,
CH04,shw_tertiary,,0,10,30.5359,
CH04,shw_tertiary,,0,11,31.609,
CH04,shw_tertiary,,0,12,31.3681,
CH04,shw_tertiary,,0,13,30.6883,
CH04,shw_tertiary,,0,14,30.1743,
CH04,shw_tertiary,,0,15,29.3384,
CH04,shw_tertiary,,0,16,27.6442,
CH04,shw_tertiary,,0,17,25.6679,
CH04,shw_tertiary,,0,18,24.3143,
CH04,shw_tertiary,,0,19,23.8443,
CH04,shw_tertiary,,0,20,23.7206,
CH04,shw_tertiary,,0,21,23.6658,
CH04,shw_tertiary,,0,22,22.5497,
CH04,shw_tertiary,,0,23,20.8995,
CH04,shw_tertiary,,0,24,18.7029,
CH04,shw_tertiary,,1,1,17.3193,
CH04,shw_tertiary,,1,2,16.5554,
CH04,shw_tertiary,,1,3,16.5631,
CH04,shw_tertiary,,1,4,16.7196,
CH04,shw_tertiary,,1,5,17.4782,
CH04,shw_tertiary,,1,6,18.351,
CH04,shw_tertiary,,1,7,19.6573,
CH04,shw_tertiary,,1,8,21.5218,
CH04,shw_tertiary,,1,9,23.841,
CH04,shw_tertiary,,1,10,25.622,
CH04,shw_tertiary,,1,11,26.3824,
CH04,shw_tertiary,,1,12,26.4971,
CH04,shw_tertiary,,1,13,26.2064,
CH04,shw_tertiary,,1,14,25.9319,
CH04,shw_tertiary,,1,15,25.5776,
CH04,shw_tertiary,,1,16,24.8871,
CH04,shw_tertiary,,1,17,23.9771,
CH04,shw_tertiary,,1,18,23.2344,
CH04,shw_tertiary,,1,19,22.7963,
CH04,shw_tertiary,,1,20,22.4731,
CH04,shw_tertiary,,1,21,22.292,
CH04,shw_tertiary,,1,22,21.5127,
CH04,shw_tertiary,,1,23,20.3493,
CH04,shw_tertiary,,1,24,18.5401,
CH04,shw_tertiary,,2,1,17.1867,
CH04,shw_tertiary,,2,2,16.4261,
CH04,shw_tertiary,,2,3,16.4337,
CH04,shw_tertiary,,2,4,16.5374,
CH04,shw_tertiary,,2,5,17.1581,
CH04,shw_tertiary,,2,6,17.7552,
CH04,shw_tertiary,,2,7,18.6756,
CH04,shw_tertiary,,2,8,19.8068,
CH04,shw_tertiary,,2,9,21.2734,
CH04,shw_tertiary,,2,10,22.3194,
