NUTS2_code,process,season,day_type,hour,load,temperature
CH04,cooling_tertiary,,0,1,0.00517637,19.0
CH04,cooling_tertiary,,0,1,0.0103528,20.0
CH04,cooling_tertiary,,0,1,0.0155291,21.0
CH04,cooling_tertiary,,0,1,0.0207055,22.0
CH04,cooling_tertiary,,0,1,0.0258818,23.0
CH04,cooling_tertiary,,0,1,0.0310582,24.0
CH04,cooling_tertiary,,0,1,0.0362346,25.0
CH04,cooling_tertiary,,0,1,0.0414109,26.0
CH04,cooling_tertiary,,0,1,0.0465873,27.0
CH04,cooling_tertiary,,0,1,0.0517637,28.0
CH04,cooling_tertiary,,0,1,0.05694,29.0
CH04,cooling_tertiary,,0,1,0.0621164,30.0
CH04,cooling_tertiary,,0,1,0.0672928,31.0
CH04,cooling_tertiary,,0,1,0.0724693,32.0
CH04,cooling_tertiary,,0,1,0.0776452,33.0
CH04,cooling_tertiary,,0,1,0.0828218,34.0
CH04,cooling_tertiary,,0,1,0.0879985,35.0
CH04,cooling_tertiary,,0,1,0.0931744,36.0
CH04,cooling_tertiary,,0,1,0.098351,37.0
CH04,cooling_tertiary,,0,1,0.103528,38.0
CH04,cooling_tertiary,,0,1,0.108704,39.0
CH04,cooling_tertiary,,0,1,0.11388,40.0
CH04,cooling_tertiary,,0,2,0.00476792,19.0
CH04,cooling_tertiary,,0,2,0.00953587,20.0
CH04,cooling_tertiary,,0,2,0.0143038,21.0
CH04,cooling_tertiary,,0,2,0.0190717,22.0
CH04,cooling_tertiary,,0,2,0.0238396,23.0
CH04,cooling_tertiary,,0,2,0.0286075,24.0
CH04,cooling_tertiary,,0,2,0.0333754,25.0
CH04,cooling_tertiary,,0,2,0.0381433,26.0
CH04,cooling_tertiary,,0,2,0.0429113,27.0
CH04,cooling_tertiary,,0,2,0.0476792,28.0
CH04,cooling_tertiary,,0,2,0.0524471,29.0
CH04,cooling_tertiary,,0,2,0.057215,30.0
CH04,cooling_tertiary,,0,2,0.061983,31.0
CH04,cooling_tertiary,,0,2,0.066751,32.0
CH04,cooling_tertiary,,0,2,0.0715185,33.0
CH04,cooling_tertiary,,0,2,0.0762867,34.0
CH04,cooling_tertiary,,0,2,0.0810548,35.0
CH04,cooling_tertiary,,0,2,0.0858223,36.0
CH04,cooling_tertiary,,0,2,0.0905905,37.0
CH04,cooling_tertiary,,0,2,0.0953587,38.0
CH04,cooling_tertiary,,0,2,0.100126,39.0
CH04,cooling_tertiary,,0,2,0.104894,40.0
CH04,cooling_tertiary,,0,3,0.00479643,19.0
CH04,cooling_tertiary,,0,3,0.00959289,20.0
CH04,cooling_tertiary,,0,3,0.0143893,21.0
CH04,cooling_tertiary,,0,3,0.0191857,22.0
CH04,cooling_tertiary,,0,3,0.0239821,23.0
CH04,cooling_tertiary,,0,3,0.0287786,24.0
CH04,cooling_tertiary,,0,3,0.033575,25.0
CH04,cooling_tertiary,,0,3,0.0383714,26.0
CH04,cooling_tertiary,,0,3,0.0431679,27.0
CH04,cooling_tertiary,,0,3,0.0479643,28.0
CH04,cooling_tertiary,,0,3,0.0527607,29.0
CH04,cooling_tertiary,,0,3,0.0575571,30.0
CH04,cooling_tertiary,,0,3,0.0623536,31.0
CH04,cooling_tertiary,,0,3,0.0671501,32.0
CH04,cooling_tertiary,,0,3,0.0719462,33.0
CH04,cooling_tertiary,,0,3,0.0767428,34.0
CH04,cooling_tertiary,,0,3,0.0815395,35.0
CH04,cooling_tertiary,,0,3,0.0863355,36.0
CH04,cooling_tertiary,,0,3,0.0911322,37.0
CH04,cooling_tertiary,,0,3,0.0959289,38.0
CH04,cooling_tertiary,,0,3,0.100725,39.0
CH04,cooling_tertiary,,0,3,0.105522,40.0
CH04,cooling_tertiary,,0,4,0.00512087,19.0
CH04,cooling_tertiary,,0,4,0.0102418,20.0
CH04,cooling_tertiary,,0,4,0.0153626,21.0
CH04,cooling_tertiary,,0,4,0.0204835,22.0
CH04,cooling_tertiary,,0,4,0.0256043,23.0
CH04,cooling_tertiary,,0,4,0.0307252,24.0
CH04,cooling_tertiary,,0,4,0.0358461,25.0
CH04,cooling_tertiary,,0,4,0.0409669,26.0
CH04,cooling_tertiary,,0,4,0.0460878,27.0
CH04,cooling_tertiary,,0,4,0.0512087,28.0
CH04,cooling_tertiary,,0,4,0.0563295,29.0
CH04,cooling_tertiary,,0,4,0.0614504,30.0
CH04,cooling_tertiary,,0,4,0.0665713,31.0
CH04,cooling_tertiary,,0,4,0.0716923,32.0
CH04,cooling_tertiary,,0,4,0.0768127,33.0
CH04,cooling_tertiary,,0,4,0.0819338,34.0
CH04,cooling_tertiary,,0,4,0.0870549,35.0
CH04,cooling_tertiary,,0,4,0.0921754,36.0
CH04,cooling_tertiary,,0,4,0.0972965,37.0
CH04,cooling_tertiary,,0,4,0.102418,38.0
CH04,cooling_tertiary,,0,4,0.107538,39.0
CH04,cooling_tertiary,,0,4,0.112659,40.0
CH04,cooling_tertiary,,0,5,0.00626546,19.0
CH04,cooling_tertiary,,0,5,0.012531,20.0
CH04,cooling_tertiary,,0,5,0.0187964,21.0
CH04,cooling_tertiary,,0,5,0.0250618,22.0
CH04,cooling_tertiary,,0,5,0.0313273,23.0
CH04,cooling_tertiary,,0,5,0.0375928,24.0
CH04,cooling_tertiary,,0,5,0.0438582,25.0
CH04,cooling_tertiary,,0,5,0.0501237,26.0
CH04,cooling_tertiary,,0,5,0.0563892,27.0
CH04,cooling_tertiary,,0,5,0.0626546,28.0
CH04,cooling_tertiary,,0,5,0.0689201,29.0
CH04,cooling_tertiary,,0,5,0.0751855,30.0
CH04,cooling_tertiary,,0,5,0.081451,31.0
CH04,cooling_tertiary,,0,5,0.0877166,32.0
CH04,cooling_tertiary,,0,5,0.0939816,33.0
CH04,cooling_tertiary,,0,5,0.100247,34.0
CH04,cooling_tertiary,,0,5,0.106513,35.0
CH04,cooling_tertiary,,0,5,0.112778,36.0
CH04,cooling_tertiary,,0,5,0.119044,37.0
CH04,cooling_tertiary,,0,5,0.12531,38.0
CH04,cooling_tertiary,,0,5,0.131575,39.0
CH04,cooling_tertiary,,0,5,0.13784,40.0
CH04,cooling_tertiary,,0,6,0.00844383,19.0
CH04,cooling_tertiary,,0,6,0.0168877,20.0
CH04,cooling_tertiary,,0,6,0.0253315,21.0
CH04,cooling_tertiary,,0,6,0.0337753,22.0
CH04,cooling_tertiary,,0,6,0.0422191,23.0
CH04,cooling_tertiary,,0,6,0.050663,24.0
CH04,cooling_tertiary,,0,6,0.0591068,25.0
CH04,cooling_tertiary,,0,6,0.0675506,26.0
CH04,cooling_tertiary,,0,6,0.0759945,27.0
CH04,cooling_tertiary,,0,6,0.0844383,28.0
CH04,cooling_tertiary,,0,6,0.0928821,29.0
CH04,cooling_tertiary,,0,6,0.101326,30.0
CH04,cooling_tertiary,,0,6,0.10977,31.0
CH04,cooling_tertiary,,0,6,0.118214,32.0
CH04,cooling_tertiary,,0,6,0.126657,33.0
CH04,cooling_tertiary,,0,6,0.135101,34.0
CH04,cooling_tertiary,,0,6,0.143545,35.0
CH04,cooling_tertiary,,0,6,0.151989,36.0
CH04,cooling_tertiary,,0,6,0.160433,37.0
CH04,cooling_tertiary,,0,6,0.168877,38.0
CH04,cooling_tertiary,,0,6,0.17732,39.0
CH04,cooling_tertiary,,0,6,0.185764,40.0
CH04,cooling_tertiary,,0,7,0.0105183,19.0
CH04,cooling_tertiary,,0,7,0.0210367,20.0
CH04,cooling_tertiary,,0,7,0.0315549,21.0
CH04,cooling_tertiary,,0,7,0.0420732,22.0
CH04,cooling_tertiary,,0,7,0.0525914,23.0
CH04,cooling_tertiary,,0,7,0.0631098,24.0
CH04,cooling_tertiary,,0,7,0.0736281,25.0
CH04,cooling_tertiary,,0,7,0.0841464,26.0
CH04,cooling_tertiary,,0,7,0.0946648,27.0
