NUTS2_code,process,season,day_type,hour,load,temperature
CH04,heating_tertiary,,0,1,0.105937,-15.0
CH04,heating_tertiary,,0,1,0.101277,-14.0
CH04,heating_tertiary,,0,1,0.0967837,-13.0
CH04,heating_tertiary,,0,1,0.0923836,-12.0
CH04,heating_tertiary,,0,1,0.0880949,-11.0
CH04,heating_tertiary,,0,1,0.0839176,-10.0
CH04,heating_tertiary,,0,1,0.0798331,-9.0
CH04,heating_tertiary,,0,1,0.0758414,-8.0
CH04,heating_tertiary,,0,1,0.0719612,-7.0
CH04,heating_tertiary,,0,1,0.0681552,-6.0
CH04,heating_tertiary,,0,1,0.0644606,-5.0
CH04,heating_tertiary,,0,1,0.0608402,-4.0
CH04,heating_tertiary,,0,1,0.0572942,-3.0
CH04,heating_tertiary,,0,1,0.0538409,-2.0
CH04,heating_tertiary,,0,1,0.050759,-1.0
CH04,heating_tertiary,,0,1,0.0478256,0.0
CH04,heating_tertiary,,0,1,0.0447808,1.0
CH04,heating_tertiary,,0,1,0.0415318,2.0
CH04,heating_tertiary,,0,1,0.038357,3.0
CH04,heating_tertiary,,0,1,0.0353865,4.0
CH04,heating_tertiary,,0,1,0.0325645,5.0
CH04,heating_tertiary,,0,1,0.0299281,6.0
CH04,heating_tertiary,,0,1,0.0273289,7.0
CH04,heating_tertiary,,0,1,0.0248597,8.0
CH04,heating_tertiary,,0,1,0.0221119,9.0
CH04,heating_tertiary,,0,1,0.0194384,10.0
CH04,heating_tertiary,,0,1,0.0168206,11.0
CH04,heating_tertiary,,0,1,0.0142586,12.0
CH04,heating_tertiary,,0,1,0.0116408,13.0
CH04,heating_tertiary,,0,1,0.00913439,14.0
CH04,heating_tertiary,,0,1,0.00579254,15.0
CH04,heating_tertiary,,0,1,0.00267348,16.0
CH04,heating_tertiary,,0,1,0.00267348,17.0
CH04,heating_tertiary,,0,2,0.111289,-15.0
CH04,heating_tertiary,,0,2,0.106394,-14.0
CH04,heating_tertiary,,0,2,0.101674,-13.0
CH04,heating_tertiary,,0,2,0.0970513,-12.0
CH04,heating_tertiary,,0,2,0.0925459,-11.0
CH04,heating_tertiary,,0,2,0.0881575,-10.0
CH04,heating_tertiary,,0,2,0.0838667,-9.0
CH04,heating_tertiary,,0,2,0.0796733,-8.0
CH04,heating_tertiary,,0,2,0.075597,-7.0
CH04,heating_tertiary,,0,2,0.0715987,-6.0
CH04,heating_tertiary,,0,2,0.0677175,-5.0
CH04,heating_tertiary,,0,2,0.0639142,-4.0
CH04,heating_tertiary,,0,2,0.060189,-3.0
CH04,heating_tertiary,,0,2,0.0565613,-2.0
CH04,heating_tertiary,,0,2,0.0533236,-1.0
CH04,heating_tertiary,,0,2,0.050242,0.0
CH04,heating_tertiary,,0,2,0.0470434,1.0
CH04,heating_tertiary,,0,2,0.0436302,2.0
CH04,heating_tertiary,,0,2,0.040295,3.0
CH04,heating_tertiary,,0,2,0.0371744,4.0
CH04,heating_tertiary,,0,2,0.0342098,5.0
CH04,heating_tertiary,,0,2,0.0314403,6.0
CH04,heating_tertiary,,0,2,0.0287097,7.0
CH04,heating_tertiary,,0,2,0.0261157,8.0
CH04,heating_tertiary,,0,2,0.0232291,9.0
CH04,heating_tertiary,,0,2,0.0204206,10.0
CH04,heating_tertiary,,0,2,0.0176705,11.0
CH04,heating_tertiary,,0,2,0.014979,12.0
CH04,heating_tertiary,,0,2,0.0122289,13.0
CH04,heating_tertiary,,0,2,0.00959591,14.0
CH04,heating_tertiary,,0,2,0.00608521,15.0
CH04,heating_tertiary,,0,2,0.00280856,16.0
CH04,heating_tertiary,,0,2,0.00280856,17.0
CH04,heating_tertiary,,0,3,0.114058,-15.0
CH04,heating_tertiary,,0,3,0.109041,-14.0
CH04,heating_tertiary,,0,3,0.104204,-13.0
CH04,heating_tertiary,,0,3,0.0994663,-12.0
CH04,heating_tertiary,,0,3,0.0948488,-11.0
CH04,heating_tertiary,,0,3,0.0903512,-10.0
CH04,heating_tertiary,,0,3,0.0859536,-9.0
CH04,heating_tertiary,,0,3,0.0816559,-8.0
CH04,heating_tertiary,,0,3,0.0774782,-7.0
CH04,heating_tertiary,,0,3,0.0733804,-6.0
CH04,heating_tertiary,,0,3,0.0694025,-5.0
CH04,heating_tertiary,,0,3,0.0655046,-4.0
CH04,heating_tertiary,,0,3,0.0616867,-3.0
CH04,heating_tertiary,,0,3,0.0579687,-2.0
CH04,heating_tertiary,,0,3,0.0546505,-1.0
CH04,heating_tertiary,,0,3,0.0514922,0.0
CH04,heating_tertiary,,0,3,0.048214,1.0
CH04,heating_tertiary,,0,3,0.0447159,2.0
CH04,heating_tertiary,,0,3,0.0412977,3.0
CH04,heating_tertiary,,0,3,0.0380994,4.0
CH04,heating_tertiary,,0,3,0.0350611,5.0
CH04,heating_tertiary,,0,3,0.0322226,6.0
CH04,heating_tertiary,,0,3,0.0294241,7.0
CH04,heating_tertiary,,0,3,0.0267656,8.0
CH04,heating_tertiary,,0,3,0.0238071,9.0
CH04,heating_tertiary,,0,3,0.0209287,10.0
CH04,heating_tertiary,,0,3,0.0181102,11.0
CH04,heating_tertiary,,0,3,0.0153517,12.0
CH04,heating_tertiary,,0,3,0.0125332,13.0
CH04,heating_tertiary,,0,3,0.00983469,14.0
CH04,heating_tertiary,,0,3,0.00623663,15.0
CH04,heating_tertiary,,0,3,0.00287845,16.0
CH04,heating_tertiary,,0,3,0.00287845,17.0
CH04,heating_tertiary,,0,4,0.115153,-15.0
CH04,heating_tertiary,,0,4,0.110088,-14.0
CH04,heating_tertiary,,0,4,0.105204,-13.0
CH04,heating_tertiary,,0,4,0.100421,-12.0
CH04,heating_tertiary,,0,4,0.0957594,-11.0
CH04,heating_tertiary,,0,4,0.0912187,-10.0
CH04,heating_tertiary,,0,4,0.0867788,-9.0
CH04,heating_tertiary,,0,4,0.0824399,-8.0
CH04,heating_tertiary,,0,4,0.078222,-7.0
CH04,heating_tertiary,,0,4,0.0740849,-6.0
CH04,heating_tertiary,,0,4,0.0700689,-5.0
CH04,heating_tertiary,,0,4,0.0661335,-4.0
CH04,heating_tertiary,,0,4,0.0622789,-3.0
CH04,heating_tertiary,,0,4,0.0585253,-2.0
CH04,heating_tertiary,,0,4,0.0551752,-1.0
CH04,heating_tertiary,,0,4,0.0519866,0.0
CH04,heating_tertiary,,0,4,0.0486769,1.0
CH04,heating_tertiary,,0,4,0.0451452,2.0
CH04,heating_tertiary,,0,4,0.0416942,3.0
CH04,heating_tertiary,,0,4,0.0384652,4.0
CH04,heating_tertiary,,0,4,0.0353977,5.0
CH04,heating_tertiary,,0,4,0.032532,6.0
CH04,heating_tertiary,,0,4,0.0297066,7.0
CH04,heating_tertiary,,0,4,0.0270225,8.0
CH04,heating_tertiary,,0,4,0.0240357,9.0
CH04,heating_tertiary,,0,4,0.0211296,10.0
CH04,heating_tertiary,,0,4,0.0182841,11.0
CH04,heating_tertiary,,0,4,0.0154991,12.0
CH04,heating_tertiary,,0,4,0.0126536,13.0
CH04,heating_tertiary,,0,4,0.00992911,14.0
CH04,heating_tertiary,,0,4,0.00629651,15.0
CH04,heating_tertiary,,0,4,0.00290608,16.0
CH04,heating_tertiary,,0,4,0.00290608,17.0
CH04,heating_tertiary,,0,5,0.11318,-15.0
CH04,heating_tertiary,,0,5,0.108202,-14.0
CH04,heating_tertiary,,0,5,0.103401,-13.0
CH04,heating_tertiary,,0,5,0.0987005,-12.0
CH04,heating_tertiary,,0,5,0.0941185,-11.0
CH04,heating_tertiary,,0,5,0.0896556,-10.0
CH04,heating_tertiary,,0,5,0.0852918,-9.0
CH04,heating_tertiary,,0,5,0.0810272,-8.0
CH04,heating_tertiary,,0,5,0.0768816,-7.0
CH04,heating_tertiary,,0,5,0.0728154,-6.0
CH04,heating_tertiary,,0,5,0.0688682,-5.0
CH04,heating_tertiary,,0,5,0.0650003,-4.0
CH04,heating_tertiary,,0,5,0.0612118,-3.0
CH04,heating_tertiary,,0,5,0.0575224,-2.0
CH04,heating_tertiary,,0,5,0.0542297,-1.0
CH04,heating_tertiary,,0,5,0.0510957,0.0
CH04,heating_tertiary,,0,5,0.0478428,1.0
CH04,heating_tertiary,,0,5,0.0443716,2.0
CH04,heating_tertiary,,0,5,0.0409797,3.0
CH04,heating_tertiary,,0,5,0.0378061,4.0
CH04,heating_tertiary,,0,5,0.0347911,5.0
CH04,heating_tertiary,,0,5,0.0319745,6.0
CH04,heating_tertiary,,0,5,0.0291976,7.0
CH04,heating_tertiary,,0,5,0.0265595,8.0
CH04,heating_tertiary,,0,5,0.0236239,9.0
CH04,heating_tertiary,,0,5,0.0207676,10.0
CH04,heating_tertiary,,0,5,0.0179708,11.0
CH04,heating_tertiary,,0,5,0.0152335,12.0
CH04,heating_tertiary,,0,5,0.0124367,13.0
CH04,heating_tertiary,,0,5,0.00975897,14.0
CH04,heating_tertiary,,0,5,0.00618862,15.0
CH04,heating_tertiary,,0,5,0.00285628,16.0
CH04,heating_tertiary,,0,5,0.00285628,17.0
CH04,heating_tertiary,,0,6,0.106624,-15.0
CH04,heating_tertiary,,0,6,0.101934,-14.0
CH04,heating_tertiary,,0,6,0.0974115,-13.0
CH04,heating_tertiary,,0,6,0.0929828,-12.0
CH04,heating_tertiary,,0,6,0.0886663,-11.0
CH04,heating_tertiary,,0,6,0.0844619,-10.0
CH04,heating_tertiary,,0,6,0.0803509,-9.0
CH04,heating_tertiary,,0,6,0.0763334,-8.0
CH04,heating_tertiary,,0,6,0.072428,-7.0
CH04,heating_tertiary,,0,6,0.0685973,-6.0
CH04,heating_tertiary,,0,6,0.0648787,-5.0
CH04,heating_tertiary,,0,6,0.0612349,-4.0
CH04,heating_tertiary,,0,6,0.0576658,-3.0
CH04,heating_tertiary,,0,6,0.0541902,-2.0
CH04,heating_tertiary,,0,6,0.0510882,-1.0
CH04,heating_tertiary,,0,6,0.0481358,0.0
CH04,heating_tertiary,,0,6,0.0450713,1.0
CH04,heating_tertiary,,0,6,0.0418012,2.0
CH04,heating_tertiary,,0,6,0.0386058,3.0
CH04,heating_tertiary,,0,6,0.035616,4.0
CH04,heating_tertiary,,0,6,0.0327757,5.0
CH04,heating_tertiary,,0,6,0.0301223,6.0
CH04,heating_tertiary,,0,6,0.0275062,7.0
CH04,heating_tertiary,,0,6,0.0250209,8.0
CH04,heating_tertiary,,0,6,0.0222553,9.0
CH04,heating_tertiary,,0,6,0.0195645,10.0
CH04,heating_tertiary,,0,6,0.0169298,11.0
CH04,heating_tertiary,,0,6,0.014351,12.0
CH04,heating_tertiary,,0,6,0.0117163,13.0
CH04,heating_tertiary,,0,6,0.00919364,14.0
CH04,heating_tertiary,,0,6,0.00583011,15.0
CH04,heating_tertiary,,0,6,0.00269082,16.0
CH04,heating_tertiary,,0,6,0.00269082,17.0
CH04,heating_tertiary,,0,7,0.0962049,-15.0
CH04,heating_tertiary,,0,7,0.091973,-14.0
CH04,heating_tertiary,,0,7,0.0878928,-13.0
CH04,heating_tertiary,,0,7,0.0838969,-12.0
CH04,heating_tertiary,,0,7,0.0800022,-11.0
CH04,heating_tertiary,,0,7,0.0762086,-10.0
CH04,heating_tertiary,,0,7,0.0724993,-9.0
CH04,heating_tertiary,,0,7,0.0688744,-8.0
CH04,heating_tertiary,,0,7,0.0653505,-7.0
CH04,heating_tertiary,,0,7,0.0618942,-6.0
CH04,heating_tertiary,,0,7,0.058539,-5.0
CH04,heating_tertiary,,0,7,0.0552512,-4.0
CH04,heating_tertiary,,0,7,0.0520309,-3.0
CH04,heating_tertiary,,0,7,0.0488949,-2.0
CH04,heating_tertiary,,0,7,0.0460961,-1.0
CH04,heating_tertiary,,0,7,0.0434322,0.0
CH04,heating_tertiary,,0,7,0.0406671,1.0
CH04,heating_tertiary,,0,7,0.0377165,2.0
CH04,heating_tertiary,,0,7,0.0348334,3.0
CH04,heating_tertiary,,0,7,0.0321357,4.0
CH04,heating_tertiary,,0,7,0.029573,5.0
CH04,heating_tertiary,,0,7,0.0271788,6.0
CH04,heating_tertiary,,0,7,0.0248184,7.0
CH04,heating_tertiary,,0,7,0.022576,8.0
CH04,heating_tertiary,,0,7,0.0200806,9.0
