time,temp,rhum,prcp,snwd,wdir,wspd,wpgt,pres,tsun,cldc,coco
2025-01-01 00:00:00,-2.1,94,0.0,,211,5.5,11.1,1032.6,0,1,1
2025-01-01 01:00:00,-1.8,92,0.0,,218,5.5,13.0,1032.1,0,1,1
2025-01-01 02:00:00,-1.5,90,0.0,,217,5.5,13.0,1032.0,0,1,1
2025-01-01 03:00:00,-1.3,88,0.0,,216,5.5,14.8,1031.8,0,2,1
2025-01-01 04:00:00,-2.2,99,0.0,,200,5.5,11.1,1031.8,0,3,1
2025-01-01 05:00:00,-1.9,94,0.0,,209,5.5,13.0,1031.6,0,3,2
2025-01-01 06:00:00,-1.7,92,0.0,,213,5.5,14.8,1031.3,0,3,2
2025-01-01 07:00:00,-1.4,88,0.0,,212,5.5,14.8,1030.8,0,3,2
2025-01-01 08:00:00,-0.7,83,0.0,,213,5.5,14.8,1030.9,22,4,2
2025-01-01 09:00:00,0.7,76,0.0,,211,7.4,14.8,1030.5,31,4,2
2025-01-01 10:00:00,0.3,83,0.0,,217,5.5,9.3,1030.2,45,3,4
2025-01-01 11:00:00,2.5,68,0.0,,217,7.4,13.0,1028.7,47,3,4
2025-01-01 12:00:00,4.4,59,0.0,,216,9.3,16.7,1027.4,44,3,4
2025-01-01 13:00:00,5.3,53,0.0,,214,9.3,18.5,1026.3,42,3,2
2025-01-01 14:00:00,5.4,52,0.0,,217,9.3,22.2,1025.5,35,2,2
2025-01-01 15:00:00,5.0,53,0.0,,216,11.1,24.1,1025.3,38,2,2
2025-01-01 16:00:00,4.8,54,0.0,,211,9.3,22.2,1024.8,23,2,2
2025-01-01 17:00:00,4.5,57,0.0,,213,9.3,22.2,1024.6,0,2,1
2025-01-01 18:00:00,4.0,60,0.0,,217,11.1,22.2,1024.7,0,1,1
2025-01-01 19:00:00,4.0,59,0.0,,218,11.1,24.1,1024.2,0,2,1
2025-01-01 20:00:00,4.0,57,0.0,,215,11.1,25.9,1024.0,0,2,1
2025-01-01 21:00:00,3.8,59,0.0,,214,11.1,24.1,1023.9,0,3,1
2025-01-01 22:00:00,4.9,53,0.0,,213,11.1,25.9,1022.6,0,2,1
2025-01-01 23:00:00,4.8,53,0.0,,213,11.1,27.8,1022.3,0,2,1
2025-01-02 00:00:00,5.1,52,0.0,,216,13.0,27.8,1021.8,0,3,1
2025-01-02 01:00:00,5.2,52,0.0,,220,14.8,33.3,1021.3,0,3,1
2025-01-02 02:00:00,5.2,53,0.0,,225,16.7,37.0,1020.8,0,3,2
2025-01-02 03:00:00,5.4,54,0.0,,229,16.7,38.9,1020.3,0,3,2
2025-01-02 04:00:00,7.9,43,0.0,,237,25.9,63.0,1018.8,0,5,4
2025-01-02 05:00:00,7.5,44,0.0,,232,24.1,57.4,1019.0,0,5,4
